id,name,hp,attack,defense,speed,image_url,created_at,updated_at
118,koffing,40,65,95,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/109.png,current_timestamp,current_timestamp
119,weezing,65,90,120,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/110.png,current_timestamp,current_timestamp
120,rhyhorn,80,85,95,25,http://assets.pokemon.com/assets/cms2/img/pokedex/full/111.png,current_timestamp,current_timestamp
121,rhydon,105,130,120,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/112.png,current_timestamp,current_timestamp
122,chansey,250,5,5,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/113.png,current_timestamp,current_timestamp
123,tangela,65,55,115,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/114.png,current_timestamp,current_timestamp
124,kangaskhan,105,95,80,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/115.png,current_timestamp,current_timestamp
125,kangaskhan-mega,105,125,100,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/115_f2.png,current_timestamp,current_timestamp
126,horsea,30,40,70,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/116.png,current_timestamp,current_timestamp
127,seadra,55,65,95,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/117.png,current_timestamp,current_timestamp
128,goldeen,45,67,60,63,http://assets.pokemon.com/assets/cms2/img/pokedex/full/118.png,current_timestamp,current_timestamp
129,seaking,80,92,65,68,http://assets.pokemon.com/assets/cms2/img/pokedex/full/119.png,current_timestamp,current_timestamp
130,staryu,30,45,55,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/120.png,current_timestamp,current_timestamp
131,starmie,60,75,85,115,http://assets.pokemon.com/assets/cms2/img/pokedex/full/121.png,current_timestamp,current_timestamp
132,mr-mime,40,45,65,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/122.png,current_timestamp,current_timestamp
133,scyther,70,110,80,105,http://assets.pokemon.com/assets/cms2/img/pokedex/full/123.png,current_timestamp,current_timestamp
134,jynx,65,50,35,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/124.png,current_timestamp,current_timestamp
135,electabuzz,65,83,57,105,http://assets.pokemon.com/assets/cms2/img/pokedex/full/125.png,current_timestamp,current_timestamp
136,magmar,65,95,57,93,http://assets.pokemon.com/assets/cms2/img/pokedex/full/126.png,current_timestamp,current_timestamp
137,pinsir,65,125,100,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/127.png,current_timestamp,current_timestamp
138,pinsir-mega,65,155,120,105,http://assets.pokemon.com/assets/cms2/img/pokedex/full/127_f2.png,current_timestamp,current_timestamp
139,tauros,75,100,95,110,http://assets.pokemon.com/assets/cms2/img/pokedex/full/128.png,current_timestamp,current_timestamp
140,magikarp,20,10,55,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/129.png,current_timestamp,current_timestamp
141,gyarados,95,125,79,81,http://assets.pokemon.com/assets/cms2/img/pokedex/full/130.png,current_timestamp,current_timestamp
142,gyarados-mega,95,155,109,81,http://assets.pokemon.com/assets/cms2/img/pokedex/full/130_f2.png,current_timestamp,current_timestamp
143,lapras,130,85,80,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/131.png,current_timestamp,current_timestamp
144,ditto,48,48,48,48,http://assets.pokemon.com/assets/cms2/img/pokedex/full/132.png,current_timestamp,current_timestamp
145,eevee,55,55,50,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/133.png,current_timestamp,current_timestamp
146,vaporeon,130,65,60,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/134.png,current_timestamp,current_timestamp
147,jolteon,65,65,60,130,http://assets.pokemon.com/assets/cms2/img/pokedex/full/135.png,current_timestamp,current_timestamp
148,flareon,65,130,60,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/136.png,current_timestamp,current_timestamp
149,porygon,65,60,70,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/137.png,current_timestamp,current_timestamp
150,omanyte,35,40,100,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/138.png,current_timestamp,current_timestamp
151,omastar,70,60,125,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/139.png,current_timestamp,current_timestamp
152,kabuto,30,80,90,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/140.png,current_timestamp,current_timestamp
153,kabutops,60,115,105,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/141.png,current_timestamp,current_timestamp
154,aerodactyl,80,105,65,130,http://assets.pokemon.com/assets/cms2/img/pokedex/full/142.png,current_timestamp,current_timestamp
155,aerodactyl-mega,80,135,85,150,http://assets.pokemon.com/assets/cms2/img/pokedex/full/142_f2.png,current_timestamp,current_timestamp
156,snorlax,160,110,65,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/143.png,current_timestamp,current_timestamp
157,articuno,90,85,100,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/144.png,current_timestamp,current_timestamp
158,zapdos,90,90,85,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/145.png,current_timestamp,current_timestamp
159,moltres,90,100,90,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/146.png,current_timestamp,current_timestamp
160,dratini,41,64,45,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/147.png,current_timestamp,current_timestamp
161,dragonair,61,84,65,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/148.png,current_timestamp,current_timestamp
162,dragonite,91,134,95,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/149.png,current_timestamp,current_timestamp
163,mewtwo,106,110,90,130,http://assets.pokemon.com/assets/cms2/img/pokedex/full/150.png,current_timestamp,current_timestamp
164,mewtwo-mega-x,106,190,100,130,http://assets.pokemon.com/assets/cms2/img/pokedex/full/150_f2.png,current_timestamp,current_timestamp
165,mewtwo-mega-y,106,150,70,140,http://assets.pokemon.com/assets/cms2/img/pokedex/full/150_f3.png,current_timestamp,current_timestamp
166,mew,100,100,100,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/151.png,current_timestamp,current_timestamp
167,chikorita,45,49,65,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/152.png,current_timestamp,current_timestamp
168,bayleef,60,62,80,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/153.png,current_timestamp,current_timestamp
169,meganium,80,82,100,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/154.png,current_timestamp,current_timestamp
170,cyndaquil,39,52,43,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/155.png,current_timestamp,current_timestamp
171,quilava,58,64,58,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/156.png,current_timestamp,current_timestamp
172,typhlosion,78,84,78,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/157.png,current_timestamp,current_timestamp
173,totodile,50,65,64,43,http://assets.pokemon.com/assets/cms2/img/pokedex/full/158.png,current_timestamp,current_timestamp
174,croconaw,65,80,80,58,http://assets.pokemon.com/assets/cms2/img/pokedex/full/159.png,current_timestamp,current_timestamp
175,feraligatr,85,105,100,78,http://assets.pokemon.com/assets/cms2/img/pokedex/full/160.png,current_timestamp,current_timestamp
176,sentret,35,46,34,20,http://assets.pokemon.com/assets/cms2/img/pokedex/full/161.png,current_timestamp,current_timestamp
177,furret,85,76,64,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/162.png,current_timestamp,current_timestamp
178,hoothoot,60,30,30,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/163.png,current_timestamp,current_timestamp
179,noctowl,100,50,50,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/164.png,current_timestamp,current_timestamp
180,ledyba,40,20,30,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/165.png,current_timestamp,current_timestamp
181,ledian,55,35,50,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/166.png,current_timestamp,current_timestamp
182,spinarak,40,60,40,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/167.png,current_timestamp,current_timestamp
183,ariados,70,90,70,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/168.png,current_timestamp,current_timestamp
184,crobat,85,90,80,130,http://assets.pokemon.com/assets/cms2/img/pokedex/full/169.png,current_timestamp,current_timestamp
185,chinchou,75,38,38,67,http://assets.pokemon.com/assets/cms2/img/pokedex/full/170.png,current_timestamp,current_timestamp
186,lanturn,125,58,58,67,http://assets.pokemon.com/assets/cms2/img/pokedex/full/171.png,current_timestamp,current_timestamp
187,pichu,20,40,15,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/172.png,current_timestamp,current_timestamp
188,cleffa,50,25,28,15,http://assets.pokemon.com/assets/cms2/img/pokedex/full/173.png,current_timestamp,current_timestamp
189,igglybuff,90,30,15,15,http://assets.pokemon.com/assets/cms2/img/pokedex/full/174.png,current_timestamp,current_timestamp
190,togepi,35,20,65,20,http://assets.pokemon.com/assets/cms2/img/pokedex/full/175.png,current_timestamp,current_timestamp
191,togetic,55,40,85,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/176.png,current_timestamp,current_timestamp
192,natu,40,50,45,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/177.png,current_timestamp,current_timestamp
193,xatu,65,75,70,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/178.png,current_timestamp,current_timestamp
194,mareep,55,40,40,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/179.png,current_timestamp,current_timestamp
195,flaaffy,70,55,55,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/180.png,current_timestamp,current_timestamp
196,ampharos,90,75,85,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/181.png,current_timestamp,current_timestamp
197,ampharos-mega,90,95,105,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/181_f2.png,current_timestamp,current_timestamp
198,bellossom,75,80,95,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/182.png,current_timestamp,current_timestamp
199,marill,70,20,50,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/183.png,current_timestamp,current_timestamp
200,azumarill,100,50,80,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/184.png,current_timestamp,current_timestamp
201,sudowoodo,70,100,115,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/185.png,current_timestamp,current_timestamp
202,politoed,90,75,75,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/186.png,current_timestamp,current_timestamp
203,hoppip,35,35,40,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/187.png,current_timestamp,current_timestamp
204,skiploom,55,45,50,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/188.png,current_timestamp,current_timestamp
205,jumpluff,75,55,70,110,http://assets.pokemon.com/assets/cms2/img/pokedex/full/189.png,current_timestamp,current_timestamp
206,aipom,55,70,55,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/190.png,current_timestamp,current_timestamp
207,sunkern,30,30,30,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/191.png,current_timestamp,current_timestamp
208,sunflora,75,75,55,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/192.png,current_timestamp,current_timestamp
209,yanma,65,65,45,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/193.png,current_timestamp,current_timestamp
210,wooper,55,45,45,15,http://assets.pokemon.com/assets/cms2/img/pokedex/full/194.png,current_timestamp,current_timestamp
211,quagsire,95,85,85,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/195.png,current_timestamp,current_timestamp
212,espeon,65,65,60,110,http://assets.pokemon.com/assets/cms2/img/pokedex/full/196.png,current_timestamp,current_timestamp
213,umbreon,95,65,110,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/197.png,current_timestamp,current_timestamp
214,murkrow,60,85,42,91,http://assets.pokemon.com/assets/cms2/img/pokedex/full/198.png,current_timestamp,current_timestamp
215,slowking,95,75,80,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/199.png,current_timestamp,current_timestamp
216,misdreavus,60,60,60,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/200.png,current_timestamp,current_timestamp
217,unown,48,72,48,48,http://assets.pokemon.com/assets/cms2/img/pokedex/full/201.png,current_timestamp,current_timestamp
218,wobbuffet,190,33,58,33,http://assets.pokemon.com/assets/cms2/img/pokedex/full/202.png,current_timestamp,current_timestamp
219,girafarig,70,80,65,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/203.png,current_timestamp,current_timestamp
220,pineco,50,65,90,15,http://assets.pokemon.com/assets/cms2/img/pokedex/full/204.png,current_timestamp,current_timestamp
221,forretress,75,90,140,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/205.png,current_timestamp,current_timestamp
222,dunsparce,100,70,70,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/206.png,current_timestamp,current_timestamp
223,gligar,65,75,105,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/207.png,current_timestamp,current_timestamp
224,steelix,75,85,200,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/208.png,current_timestamp,current_timestamp
225,steelix-mega,75,125,230,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/208_f2.png,current_timestamp,current_timestamp
226,snubbull,60,80,50,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/209.png,current_timestamp,current_timestamp
227,granbull,90,120,75,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/210.png,current_timestamp,current_timestamp
